condition,treatment_type,success_rate,avg_improvement_percent,adverse_events_per_100,total_patients_studied,number_of_studies,evidence_strength_score,treatment_recommendation_score,recommended_treatment,high_evidence,data_source,treats_type_2_diabetes_mellitus,treats_hypertension,treats_cardiovascular_disease,treats_stroke,treats_cancer,treats_chronic_kidney_disease,treats_asthma,treats_copd,treats_pneumonia,treats_liver_disease,uses_behavioral_intervention,uses_lifestyle_modification,uses_dietary_supplement,uses_drug_intervention,uses_procedure,uses_device_intervention,is_recommended_treatment,has_strong_evidence,is_low_risk_treatment,is_highly_effective
Type 2 Diabetes Mellitus,Behavioral Intervention,0.625,8.186847003574385,32.14378343564788,6191,8,100.0,51.02729741394273,False,True,ClinicalTrials_evidence,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Type 2 Diabetes Mellitus,Lifestyle Modification,0.8571428571428571,12.084473161968996,49.889470280545666,2170,7,91.7,57.10316217819586,False,True,ClinicalTrials_evidence,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Type 2 Diabetes Mellitus,Dietary Supplement,0.5714285714285714,9.666256659600482,41.293686691573946,7055,7,100.0,47.498282516708215,False,True,ClinicalTrials_evidence,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Type 2 Diabetes Mellitus,Drug Intervention,0.4166666666666667,5.44264926751708,47.255991877535514,5555,12,100.0,38.84826307141469,False,True,ClinicalTrials_evidence,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Type 2 Diabetes Mellitus,Procedure,0.2,4.056288273802921,43.06028166497906,4774,10,100.0,30.604830149145066,False,True,ClinicalTrials_evidence,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Type 2 Diabetes Mellitus,Device Intervention,0.16666666666666666,4.15525226924471,46.06788409277525,5161,6,100.0,28.699665528885028,False,True,ClinicalTrials_evidence,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Hypertension,Behavioral Intervention,0.8,12.844653314775105,27.62425910537803,5861,5,100.0,60.328544173356924,True,True,ClinicalTrials_evidence,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1
Hypertension,Lifestyle Modification,1.0,10.671453699472115,16.933614548576326,3393,3,63.93,66.20771320012638,True,True,ClinicalTrials_evidence,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
Hypertension,Dietary Supplement,0.0,2.848905231545808,29.728255732053537,1220,3,42.2,19.129020423053035,False,False,ClinicalTrials_evidence,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hypertension,Drug Intervention,0.75,10.048443886766131,49.073555851888116,1139,4,51.39,48.338821995652225,False,True,ClinicalTrials_evidence,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
